reply,tokenized,policy
무슨 중복이요 그럼 휴직급여 그거 하나 받고 키우라는건디 다 일 그만두라는거에요  지원금이 평생 나오는것도 아니고 영유아기 잠시 나오는건데도 이 난리를쳐서 못받게하네,"['중복', '요', '휴직급', '그거', '키우', '건디', '그만두', '에요', '지원금', '평생', '영유', '아기', '건데', '난리', '쳐서']",영아수당 지급
와 년 주는거도 건드리네 더줄생각은 못하고,"['건드리', '생각']",영아수당 지급
무슨 중복인지 그럼 다 경력단절되어야하는건가,"['중복', '인지', '경력', '단절', '어야', '건가']",영아수당 지급
세금 내고 일하는 워킹맘이 죄인인가 부모급여 줄 것처럼 언플해서 원래 지자체에서 자체적으로 주던 지원금까지 끊겼다 육아휴직 수당 받아도 원래 받던 월급에 한참 못 미치는데 여기에 부모급여까지 안 주면 신생아 맡기고 빨리 복직하라는 소리 밖에 더 됨 육아휴직 수당 상한선을 높이던지 신생아라서 필수적으로 엄마들이 휴직해야 하는 시기에 경제적으로 지원도 안해줄 거면서 무슨 애를 낳으라고,"['세금', '워킹', '맘', '죄인', '인가', '부모', '급여', '처럼', '언', '플', '원래', '지자체', '자체', '적', '던', '지원금', '끊겼', '육아', '휴직', '수당', '아도', '원래', '던', '월급', '한참', '미치', '부모', '급여', '신생아', '맡기', '빨리', '복직', '소리', '밖', '육아', '휴직', '수당', '상한선', '높이', '던지', '신생아', '라서', '필수', '적', '엄마', '휴직', '시기', '경제', '적', '지원', '애', '낳', '으라고']",영아수당 지급
기사놈 사회성 없는거같음,"['기사', '사회', '성']",영아수당 지급
국가에서 키워서나눠주자 지자식을왜국가에서 세금퍼주는건데,"['국가', '키워서', '나눠', '자식', '국가', '세금', '퍼', '건데']",영아수당 지급
일한다고 안주면 누가 일하냐 이 놈의 지원금은 일하며 꼬박꼬박 세금 내는 사람은 쥐뿔도 없음,"['한다고', '지원금', '며', '꼬박꼬박', '세금', '사람', '쥐뿔']",영아수당 지급
육아휴직 급여로 애 키우기 힘들어요 정부에서 이런 지원마저 해주지않는다면 아이는 더 안낳을거에요 월급이외에도 나라가 지원해준다라는 인식이 있어야 애갖는데 부담이 덜해집니다,"['육아', '휴직', '급여', '애', '키우', '힘들', '어요', '정부', '지원', '는다면', '낳', '에요', '월급', '이외', '나라', '지원', '준다', '인식', '어야', '애', '갖', '부담', '덜', '해집니다']",영아수당 지급
육아휴직급여 상한 없애주세요,"['육아', '휴직급', '상한', '없애', '세요']",영아수당 지급
지돈 아니라고 따져보지도 않고 마구 질러대는구만,"['돈', '따져', '마구', '질러대', '는구만']",영아수당 지급
보건복지부가 맞는 말도하네,['보건복지부'],영아수당 지급
육아휴직급여 상한 최소 은 해야되지 않아요,"['육아', '휴직급', '상한', '최소', '아요']",영아수당 지급
이건 민주당이 발목잡는겁니다 선동당하지마세요ㅡㅡ,"['이건', '민주당', '발목', '겁니다', '선동', '당하', '마세요', 'ㅡㅡ']",영아수당 지급
내 새끼 분유값 걱정했는것이 어제일같은데세상 많이좋아졌네ㅎ,"['새끼', '분유', '값', '걱정', '제일', '세상', '많이', '졌', 'ㅎ']",영아수당 지급
교육비가 문제야 우리나라 교육이 문제라고 세입학이니 학력고사 한다는 소리고 어이없는데 만세부모급여 만원 참 그돈받으려 애낳겠냐 앞으로 아이 명당 대학까지 년 최소 기본억든다는게 현실이야 탁상행정 그만하라고 그러니 정치인들 공무원들 매날 욕먹는거야 현실성없는 퍼주기 생색내기식 예산써서 세금낭비 그세금부담은 돌고돌아 다시 만원받은 애낳은 부모몫이고 국민들 몫이야 자기돈으로 생색내는척 하지마국민들 기부하는거마냥 세금으로 혈세를 그리 쓰지 좀 마앞으로 용산집무실이전 관련 몇조  들어가려는지,"['교육비', '문제', '나라', '교육', '문제', '세', '입학', '학력고사', '한다는', '소리', '어이없', '만세', '부모', '급여', '원', '돈', '으려', '애', '낳', '명당', '대학', '최소', '기본', '억', '든다는', '현실', '탁상행정', '그만', '그러', '정치인', '공무원', '날', '욕먹', '현실', '성', '퍼', '생색내', '식', '예산', '써서', '세금', '낭비', '세금', '부담', '돌고돌', '원', '애', '낳', '부모', '몫', '국민', '몫', '돈', '생색내', '척', '국민', '기부', '마냥', '세금', '혈세', '그리', '용산', '집무실', '이전', '관련', '조', '들어가', '려는지']",영아수당 지급
영아기 기저귀값 우유값이 없어서 출산율이 저조한게 아닙니다 아이한명이 태어나면 말문이 틀이때부터 시작되는 교육비가 무서워서 출산율이 저조한거예요,"['아기', '기저귀', '값', '우유', '값', '출산', '율', '저조', '아닙니다', '명', '태어나', '말문', '틀', '시작', '교육비', '무서워서', '출산', '율', '저조', '예요']",영아수당 지급
일하는사람은 쎄빠지게 일하고 세금내고육휴급여 받으니 못준다 이러고집에 있는사람은 육휴 못받으니부모급여주겠다이게 무슨말인가요진짜 일하는사람만 손해고일 안하고 집에 있어야 나라에서 돈 주니까일 왜하는지 모르겠네요,"['사람', '쎄', '빠지', '세금', '고육', '급여', '으니', '준다', '이러', '집', '사람', '으니', '부모', '급여', '인가요', '진짜', '사람', '손해', '고일', '집', '어야', '나라', '돈']",영아수당 지급
사실  육아휴직쓰면 돈이 모자라니 필요하긴해,"['사실', '육아', '휴직', '돈', '모자라', '필요']",영아수당 지급
차별해서 주면 부모급여 재정적지원 부담이 줄어든다는것은 이해하지만 직장을 다니고 있는 예비엄마로서  육아휴직 급여와 기간이 늘어난 것도 아닌데  부모급여마저 직장인 엄마에게는 중복급여가 안된다하니 국가에서 직장을 다니고 있는 엄마에게 어떠한 혜택을 충분히 주고 있는지  와닿지 않아요  모든 엄마들이 아이를 가지고 싶어하는 출산 장려의 바람직한 정책인가요,"['차별', '부모', '급여', '재정', '적', '지원', '부담', '줄어든다는', '이해', '직장', '다니', '예비', '엄마', '로서', '육아', '휴직', '급여', '기간', '늘어난', '아닌데', '부모', '급여', '직장', '엄마', '중복', '급여', '국가', '직장', '다니', '엄마', '어떠', '혜택', '충분히', '닿', '아요', '모든', '엄마', '가지', '싶', '출산', '장려', '바람직', '정책', '인가요']",영아수당 지급
출근길 기자회견 괜히한다고 생각할듯 ㅋㅋㅋ 바닥 드러남 ㅋㅋ,"['출근길', '기자', '회견', '괜히', '한다고', '생각', '바닥', '드러남']",영아수당 지급
년 동안 이면  으로 올라도 고작 인데 이걸로 결혼 출산율 오를거라 생각하니 애 안 낳아 본연놈이 뭘 알겠냐,"['올라도', '고작', '이걸로', '결혼', '출산', '율', '오를', '생각', '애', '낳', '본', '연놈', '뭘']",영아수당 지급
윤통 니하고픈 대로 해라 어짜피 욕할놈들 더욕한다 나 나 똑 같다 응원한다,"['윤통', '픈', '해라', '어짜피', '욕할', '욕한다', '똑', '응원']",영아수당 지급
중고등학생 키우는 부모가 더 힘들다 영유아는 분유만 있으면 되쟌아 근데 중고등학생은 먹는고기만해도 엄청나다 근데 지원은 한푼도 없다,"['중고', '학생', '키우', '부모', '힘들', '유아', '분유', '쟌', '근데', '중고', '학생', '고기', '엄청나', '근데', '지원', '푼']",영아수당 지급
육아휴직 급여받고 부모급여 받는게 중복지원이라는건 무슨논리냐 회사다니면서 낸거 육휴때 보상받는 개념인데전업주부들만 돈주면 출산율 오히려 더 떨어지지보건복지부말이 맞지,"['육아', '휴직', '급여', '부모', '급여', '중복', '지원', '논리', '회사', '다니', '낸', '보상', '개념', '전업주부', '돈', '출산', '율', '떨어지', '보건', '복지', '부말']",영아수당 지급
그래서 준다는거야 만다는거야 확마 열받게시리,"['준다는', '만다는', '확', '열받', '게시리']",영아수당 지급
지금 당장 육휴 들어가고 싶은거 출산전까지 꾸욱 참고 참으며 일다니고 출산휴가육아휴직 받으려고 아득바득 일하고 있는 전국에 있는 산모들은 너무 어이가 없음 그럴거면 일 그만두라는건지 조금이라도 살림에 보템 되려고 몸 무거운데 꾸역꾸역 참으며 일하고 있는 사람 힘빠지게 하네요  사각지대에 있는 사람들 지원해줄거면 따로 지원책을 마련 해야지 반대하는 의견이 타당해야지 손을 들어주지 어디서 영아수당이랑 육휴수당이 중복지원이란걸 들고 나와서 안그래도 육휴도 눈치보며 받는데,"['지금', '들어가', '싶', '출산', '전', '꾸욱', '참으', '며', '다니', '출산', '휴가', '육아', '휴직', '으려고', '아득바득', '전국', '산모', '너무', '그럴', '그만두', '건지', '살림', '템', '려고', '몸', '무거운데', '꾸역꾸역', '참으', '며', '사람', '힘', '빠지', '사각지대', '사람', '지원', '따로', '지원', '책', '마련', '해야지', '반대', '의견', '타당', '해야지', '손', '영아', '수당', '이랑', '휴수', '당', '중복', '지원', '란', '나와서', '휴도', '눈치', '며']",영아수당 지급
나도 일때려쳐야지 부모급여 받을려고 ㅋㅋㅋㅋ경단녀 되야징,"['때려', '쳐야지', '부모', '급여', '을려고', '경단', '녀', '야징']",영아수당 지급
휴직도 하지말라는건가요,"['휴직', '건가요']",영아수당 지급
아이낳는게 애국여,"['낳', '애국']",영아수당 지급
직장안다녀야 부모급여 주는거라면직장다니는 여자들이 굳이 애를 낳으려고 할까요육휴나 부모급여나 다를바가 없는데주부들만 부모급여 준다면 누가일 그만두고 애낳으려고 할까요,"['직장', '다녀야', '부모', '급여', '라면', '직장', '다니', '여자', '굳이', '애', '낳', '으려고', '할까', '요육', '부모', '급여', '다를', '바', '주부', '부모', '급여', '준다면', '그만두', '애', '낳', '으려고', '할까요']",영아수당 지급
보건복지부 말이 구구절절 다 옳습니다끝까지 밀고 나가주시길 간곡히 부탁드립니다,"['보건복지부', '구구절절', '옳', '끝', '밀', '나가', '시', '길', '간곡히', '부탁드립니다']",영아수당 지급
처음엔 아동수당부모급여로 명칭만 바뀌는것 처럼 홍보하더니 그게 아니었나봐요 그럼 부모급여따로 아동수당 따로 주려고 했던거에요 내가 이해를 못한거야 뭐야 그래서 결국 육휴쓰면 못받는다는거 그럼 출산으로 일 그만두고 실직되면 부모급여 따로 주고 아동수당 따로 줄 예정이었던거임 뭐 정책을 이따구로 하는거야,"['처음', '엔', '아동', '수당', '부모', '급여', '명칭', '바뀌', '처럼', '홍보', '더니', '그게', '봐요', '부모', '급여', '따로', '아동', '수당', '따로', '려고', '던', '에요', '이해', '못한', '는다는', '출산', '그만두', '실직', '부모', '급여', '따로', '아동', '수당', '따로', '예정', '던', '정책', '따구']",영아수당 지급
나홀로 가정은 세금만 내다 죽겠네 국가 혜택은 일절없고,"['홀로', '가정', '세금', '죽', '국가', '혜택', '일절']",영아수당 지급
가 너 미국가서 욕한거 가지고 코미디 만들어서 비웃던데 는 압수수색 안하냐 아 미안하다 국립박물관을 연찬회장으로 만드느라 바쁘지 ㅋ,"['미국', '욕한', '가지', '코미디', '만들', '비웃', '던', '압수수색', '미안', '국립', '박물관', '연찬', '회장', '만드', '느라', '바쁘']",영아수당 지급
현장 필드 테스트도 제데로 거치지 않고 무조건 가동시킨 정신 나간 책임자는 어떤 인간이냐죄송하다고만 할게 아니라 해임해라,"['현장', '필드', '테스트', '거치', '무조건', '가동', '시킨', '정신', '나간', '책임자', '인간', '죄송', '해임', '해라']",영아수당 지급
세금 과태료 이런건 평생 오류없던데,"['세금', '과태료', '평생', '오류', '던데']",영아수당 지급
자식을 낳아봐야 안다니까   개님과 같이 산 자들이 어찌 사람자식 귀한줄 알까,"['자식', '낳', '봐야', '다니', '까', '님', '산', '사람', '자식', '귀한', '까']",영아수당 지급
오류가 아니라 돈이 없는거야 누가 다 빼돌려서,"['오류', '돈', '빼돌려서']",영아수당 지급
진짜 대환장쇼입니다월중에 시스템 관련 기능 다 오픈한다더니 반도 안된 것 같고,"['진짜', '대환', '장', '쇼', '입니다', '중', '시스템', '관련', '기능', '오픈', '한다더니', '반']",영아수당 지급
일부러 이러나 돈주기 싫어서 갑자기 나라가 전체적으로 후져지고 시스템은 전부 엉망이고 행사란 행사는 다 어디 짜퉁처럼 보이고 허술하고 이 모든게 한 사람의 짓 같은 짙은 의혹이 드네,"['일부러', '이러', '돈', '주기', '싫', '갑자기', '나라', '전체', '적', '져', '시스템', '엉망', '행사', '란', '행사', '짜', '퉁', '처럼', '보이', '허술', '모든', '사람', '짙', '의혹', '드']",영아수당 지급
국힘이나 민주나 이런거가지고 심각하게 이야기 하는모습을 좀 보였으면 좋겠다정치권력이 중요한건 알겠는데 민생은 최우선으로 중요하게 생각해야될 부분아닌가잘 잘못 가리는것도 좋은데 이런 문제부터 해결하고 좀 싸웠으면 한다 그리고 이러한 글에는 댓글 다는 사람들의 관심이 적은게 안타깝다이런글이 메인에 안걸리니사람들의 관심이 적은것인가,"['국', '힘', '민주', '가지', '심각', '이야기', '모습', '보였', '정치권력', '중요', '민생', '최우선', '중요', '생각', '될', '부분', '아닌가', '잘', '잘못', '가리', '문제', '해결', '싸웠으면', '이러', '글', '댓글', '사람', '관심', '적', '안타깝', '글', '메인', '걸리', '사람', '관심', '적', '인가']",영아수당 지급
