Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1644,10,0.1577,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",지금도 아동수당이 나가는데   중복지원 아님  이돈으로 학교 방과후 시설이랑 커리큘럼 늘리고 선생님 복지나 신경쓰세요,영아수당 지급
131,10,0.1229,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",청년 영유아만 지원해주냐는  대 징징거리지마쇼  됐을때 받을연금 그 애기들이 커서 메꾸는겁니다부자도 똑같이 내세금으로 준다고 뭐라하는건 또 뭔소린지 무상급식 시작할때 이건희 손자 밥값을 왜 내세금으로 내냐는 멍청한 소리가 생각나네 세금을 냈서도 부자가 더냈지 이사람들아,영아수당 지급
2063,10,0.113,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",만 세까지 만 원은 지원해 줘야  출생아 늘어날 수 있을 것이다,영아수당 지급
1543,10,0.1111,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",청년들 한테는 돈 원도 줄 필요없다 내가 대다,영아수당 지급
1976,10,0.1111,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",참 이상한 정책이네,영아수당 지급
2075,10,0.1076,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",애시기 낳으면 애국이라고 지껄이는것들 ㅇ나게 많네 명이상 낳는 부모들한테나 지급해라,영아수당 지급
1312,10,0.1069,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",자립을돈으로시키냐,영아수당 지급
1978,10,0.1065,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",등하교 돌봄도 조부모님들이 많이 하죠,영아수당 지급
2007,10,0.1051,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",돌봄이나 확대해서 취업자리나 만들던지 아이 맡는지 뭐로 증명할건데 아이 둘이면 으로 뛰냐 부모들 아이 안맡는다데 줄테니 맡으라는 꼴이네,영아수당 지급
1671,10,0.1051,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",고기 낚는법을 알려줘야지,영아수당 지급
1188,10,0.1049,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",댓글에서 쉰내가 진동하면 댓글작성 연령비를 보세요      ㅋㅋㅋㅋㅋ   쉰내나는  광우뻥나꼼수 날조선동세대 틀니들  혼신의 선동 중 ㅋㅋㅋㅋㅋ   문재앙 개판칠때는 다들 어떻게 살았나몰라   ㅋㅋㅋ 늙어서 기억이 안나나 ㅋㅋ,영아수당 지급
1852,10,0.1042,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이게 뭔짓인가,영아수당 지급
1584,10,0.1034,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",야 다섯살 훈아 부부는 수도권살고 부모들은 지방사는 가족들이 얼마나 많이 있는줄 알고 이런정책을 만드니 그리고 어떻게 확인할껀데 주소지 옴겨 놓으면 그거 확인하는 비용이 더들겠다 이딱다구리새이야,영아수당 지급
1266,10,0.1032,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",어이가없네   나라빚이 어마어마한데  그만좀 퍼줘라,영아수당 지급
1680,10,0.1032,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",그 돈 부모한태 줘라 어찌 이리 생각이 짧을꼬,영아수당 지급
934,10,0.1027,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",비오니까 선제퇴근에 막겔리나 처 마시러 가라  국민 괴로우니까 암것도 하지말고,영아수당 지급
413,10,0.1014,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",초중고 대학생한테 지원을 더 해줘야죠 국가장학금 그거 되게 깐깐하게 보시더만요 ㅋㅋ 집도 없고 아버지가 한달 일해서 한달 생활비로 모조리 나가는데도 등급 이라고 국가장학금 해택도  못 받았습니다 이게 말이 됩니까 차라리 무상교육을 고등학교 까지 늘리세요,영아수당 지급
155,10,0.0996,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",혜택받은거 단한번없고 터졌을때 일자리없어 방랑자생활하면서 세금은 꼬박꼬박내고 솔직히 너무억울하다 내나이는 늙어가는데 부모 모셔야해 이런압박감 괴롭다정부는 너무한다그렇다고 내가낸세금을 재대로쓰면 말을안하지아휴 미처,영아수당 지급
1711,10,0.0963,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",요즘 대부분 맞벌이 부부입니다마음 편히 회사 다닐 수 있나요  없습니다부모도 퇴근해서 늦게 오고 아이들은 학원 돌리고 늦게 옵니다가족이 함께 보낼 시간이 너무 짧습니다서로 피곤하다보니 예민해집니다서로가 미안합니다전 눈치 안보고 회사 다닐수 있는 정책예를들어 근무 시간을 줄여주고 회사가 손실 나는 부분은 세금 혜택 또는 정부사업에 우선권을 부여한다든지 또는 자녀가 있는 집은 일괄적으로 지원금 부여 또는 연말정산 혜택을 대폭 늘린다던지확 땡기는 정책 나왔으면 좋겠네요,영아수당 지급
142,10,0.0963,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",소득이 낮은 사람만 애 낳으라는 건가 지원할라면 다 하던가 세금 내는 사람 따로 있고 내가 낸 세금이 남의 양육 급여로 주는 건 뭐임,영아수당 지급
1391,10,0.0947,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",사지 멀쩡한 사람들 한테 자꾸 돈 주니까 일을 안 하는거야놀고 먹어도 국가에서 돈 주는데 누가 일을 하냐내가 알고있는 사람들 중에도 사지 멀쩡한테 일을 안 하고 게임만 하고 놀고 먹고 있다왜 그러는지 아냐일 하면 돈 안 준다고 그러더라그래서 돈 받아 먹을려고 일을 안 한다고이게 말이 되는거냐가짜인혼해서 한부모 만들어서  내가 낸 세금으로 놀고 먹으면서 오만가지 혜택이란 혜택은 다 받고 돈 타먹고거기다가 평 남짓 임대아파트 살면서 하루 만원 청소아줌마까지 부리고 살고있다이게 말이 되는거냐,영아수당 지급
1746,10,0.0929,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",출산율을 높이려면 집값을 떨어뜨려야 합니다 애 낳으면 돈주고 돌보는 데 돈주고 등등 수도권에 집 있고 애 낳을 수 있는 사람들에게 지원하는 제도 말고 집값과 교육비 좀 낮춰주세요 제발,영아수당 지급
843,10,0.092,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",니들이 줄거지  설마 내세금으로  기업들이,영아수당 지급
1118,10,0.0919,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",손가락은 안녕들 하신지 확인해야 될 사람들 많아요,영아수당 지급
